id,date,price,property_id,type,propertytype,street,streetnumber,suburb,flatnumber,postcode,state,bedrooms,bathrooms,carspaces,latitude,longitude,property_id-2,geom,area,streettype
1083388,01-08-2007,256500,4947354,sold,House,FINSCHHAFEN,13,AITKENVALE,,4814,QLD,3,1,4,-19.29787681,146.773102,4947354,0101000020E61000008D555240BD586240D32F95A7414C33C0,674,ST
1083389,06-11-2001,126000,4947354,sold,House,FINSCHHAFEN,13,AITKENVALE,,4814,QLD,3,1,4,-19.29787681,146.773102,4947354,0101000020E61000008D555240BD586240D32F95A7414C33C0,674,ST
1083390,01-07-1992,70000,4947356,sold,House,NISBET,6,AITKENVALE,,4814,QLD,3,1,1,-19.30556247,146.7630402,4947356,0101000020E6100000829732D36A586240F5888F57394E33C0,792,ST
890860,13-09-2016,555000,4947358,sold,House,ALLAWAH,13,ALBANY CREEK,,4035,QLD,3,2,6,-27.35736374,152.974752,4947358,0101000020E61000002195202B311F63408513A8307C5B3BC0,773,ST
890861,11-03-2008,478000,4947358,sold,House,ALLAWAH,13,ALBANY CREEK,,4035,QLD,3,2,6,-27.35736374,152.974752,4947358,0101000020E61000002195202B311F63408513A8307C5B3BC0,773,ST
890862,06-10-2006,339000,4947358,sold,House,ALLAWAH,13,ALBANY CREEK,,4035,QLD,3,2,6,-27.35736374,152.974752,4947358,0101000020E61000002195202B311F63408513A8307C5B3BC0,773,ST
890863,29-12-2003,326500,4947358,sold,House,ALLAWAH,13,ALBANY CREEK,,4035,QLD,3,2,6,-27.35736374,152.974752,4947358,0101000020E61000002195202B311F63408513A8307C5B3BC0,773,ST
890864,12-11-2018,579000,4947359,sold,House,ALLAWAH,14,ALBANY CREEK,,4035,QLD,3,1,3,-27.35727594,152.9742544,4947359,0101000020E6100000B68285172D1F63409AF29D6F765B3BC0,790,ST
890865,17-03-1995,135000,4947359,sold,House,ALLAWAH,14,ALBANY CREEK,,4035,QLD,3,1,3,-27.35727594,152.9742544,4947359,0101000020E6100000B68285172D1F63409AF29D6F765B3BC0,790,ST
890866,21-05-2018,601200,4947360,sold,House,ALLAWAH,16,ALBANY CREEK,,4035,QLD,3,2,2,-27.35740455,152.9741496,4947360,0101000020E61000006370BD3B2C1F63400CB155DD7E5B3BC0,773,ST
890867,13-03-2008,472500,4947360,sold,House,ALLAWAH,16,ALBANY CREEK,,4035,QLD,3,2,2,-27.35740455,152.9741496,4947360,0101000020E61000006370BD3B2C1F63400CB155DD7E5B3BC0,773,ST
890868,15-12-2005,385000,4947360,sold,House,ALLAWAH,16,ALBANY CREEK,,4035,QLD,3,2,2,-27.35740455,152.9741496,4947360,0101000020E61000006370BD3B2C1F63400CB155DD7E5B3BC0,773,ST
890869,08-10-1999,145000,4947360,sold,House,ALLAWAH,16,ALBANY CREEK,,4035,QLD,3,2,2,-27.35740455,152.9741496,4947360,0101000020E61000006370BD3B2C1F63400CB155DD7E5B3BC0,773,ST
1083391,18-09-2020,243000,4947361,sold,House,FINSCHHAFEN,9,AITKENVALE,,4814,QLD,3,1,1,-19.29792315,146.773578,4947361,0101000020E6100000CB419626C1586240A7F809B1444C33C0,685,ST
1083392,24-05-1996,93000,4947361,sold,House,FINSCHHAFEN,9,AITKENVALE,,4814,QLD,3,1,1,-19.29792315,146.773578,4947361,0101000020E6100000CB419626C1586240A7F809B1444C33C0,685,ST
890870,04-12-2018,695000,4947362,sold,House,DOVE,11,ALBANY CREEK,,4035,QLD,4,2,2,-27.35434399,152.9584038,4947362,0101000020E6100000972B723EAB1E63408B95A849B65A3BC0,967,CT
890871,10-09-2007,545000,4947362,sold,House,DOVE,11,ALBANY CREEK,,4035,QLD,4,2,2,-27.35434399,152.9584038,4947362,0101000020E6100000972B723EAB1E63408B95A849B65A3BC0,967,CT
890872,04-06-2005,434000,4947362,sold,House,DOVE,11,ALBANY CREEK,,4035,QLD,4,2,2,-27.35434399,152.9584038,4947362,0101000020E6100000972B723EAB1E63408B95A849B65A3BC0,967,CT
890873,29-11-2022,1130000,4947363,sold,House,DOVE,13,ALBANY CREEK,,4035,QLD,4,2,2,-27.35437088,152.9581925,4947363,0101000020E6100000C6803683A91E63403741CC0CB85A3BC0,973,CT
890874,11-12-2015,520000,4947363,sold,House,DOVE,13,ALBANY CREEK,,4035,QLD,4,2,2,-27.35437088,152.9581925,4947363,0101000020E6100000C6803683A91E63403741CC0CB85A3BC0,973,CT
890875,01-02-2009,635000,4947365,sold,House,DOVE,16,ALBANY CREEK,,4035,QLD,4,2,2,-27.3538857,152.9584417,4947365,0101000020E610000018AFFD8DAB1E6340A605D440985A3BC0,1021,CT
890876,04-04-2023,1255500,4947367,sold,House,DOVE,3,ALBANY CREEK,,4035,QLD,5,3,6,-27.35445207,152.9592492,4947367,0101000020E61000004C5D4B2BB21E634046A6F05EBD5A3BC0,1005,CT
890877,20-03-2015,712000,4947367,sold,House,DOVE,3,ALBANY CREEK,,4035,QLD,5,3,6,-27.35445207,152.9592492,4947367,0101000020E61000004C5D4B2BB21E634046A6F05EBD5A3BC0,1005,CT
890878,01-07-2012,712000,4947367,sold,House,DOVE,3,ALBANY CREEK,,4035,QLD,5,3,6,-27.35445207,152.9592492,4947367,0101000020E61000004C5D4B2BB21E634046A6F05EBD5A3BC0,1005,CT
890879,15-11-2007,610000,4947367,sold,House,DOVE,3,ALBANY CREEK,,4035,QLD,5,3,6,-27.35445207,152.9592492,4947367,0101000020E61000004C5D4B2BB21E634046A6F05EBD5A3BC0,1005,CT
890880,17-11-2017,670000,4947368,sold,House,DOVE,4,ALBANY CREEK,,4035,QLD,4,2,2,-27.35457351,152.9596794,4947368,0101000020E6100000789982B1B51E63405A7A5D54C55A3BC0,1018,CT
890881,08-08-2003,400000,4947368,sold,House,DOVE,4,ALBANY CREEK,,4035,QLD,4,2,2,-27.35457351,152.9596794,4947368,0101000020E6100000789982B1B51E63405A7A5D54C55A3BC0,1018,CT
890882,27-04-2002,291000,4947368,sold,House,DOVE,4,ALBANY CREEK,,4035,QLD,4,2,2,-27.35457351,152.9596794,4947368,0101000020E6100000789982B1B51E63405A7A5D54C55A3BC0,1018,CT
890883,13-06-2013,475000,4947369,sold,House,DOVE,5,ALBANY CREEK,,4035,QLD,4,2,2,-27.35439809,152.9590076,4947369,0101000020E6100000414DCA30B01E63409B504ED5B95A3BC0,991,CT
890884,27-02-2006,350000,4947369,sold,House,DOVE,5,ALBANY CREEK,,4035,QLD,4,2,2,-27.35439809,152.9590076,4947369,0101000020E6100000414DCA30B01E63409B504ED5B95A3BC0,991,CT
890885,21-04-2012,415000,4947371,sold,House,DOVER,2,ALBANY CREEK,,4035,QLD,3,2,4,-27.35565551,152.9746985,4947371,0101000020E6100000F3E1DDBA301F63409A17503D0C5B3BC0,805,CT
890886,14-03-2008,448000,4947371,sold,House,DOVER,2,ALBANY CREEK,,4035,QLD,3,2,4,-27.35565551,152.9746985,4947371,0101000020E6100000F3E1DDBA301F63409A17503D0C5B3BC0,805,CT
